Algo,Energy,Damp,y,γ,γfact,D,N,Assignments
rAP,0.6099071659432421,0.7,10.0,0.1,1.1,2,1000,0.907
AP,11.147567202881149,0.7,-1.0,-1.0,-1.0,2,1000,0.982
rAP,0.4786800803098657,0.7,10.0,0.1,1.1,2,1000,0.988
AP,0.48484043390301984,0.7,-1.0,-1.0,-1.0,2,1000,0.771
rAP,0.7023834921461529,0.7,10.0,0.1,1.1,2,1000,0.946
AP,0.5448467537498076,0.7,-1.0,-1.0,-1.0,2,1000,0.718
rAP,0.4960876143757061,0.7,10.0,0.1,1.1,2,1000,0.73
AP,6.670208205363823,0.7,-1.0,-1.0,-1.0,2,1000,0.967
rAP,4.817051542503478,0.7,10.0,0.1,1.1,2,1000,0.994
AP,3.27836003087118,0.7,-1.0,-1.0,-1.0,2,1000,0.994
rAP,0.47846754718356516,0.7,10.0,0.1,1.01,2,1000,0.688
AP,3.8283004870931268,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4859046800200452,0.7,10.0,0.1,1.01,2,1000,0.984
AP,0.47968948001626033,0.7,-1.0,-1.0,-1.0,2,1000,0.619
rAP,0.47828388475739164,0.7,10.0,0.1,1.01,2,1000,0.877
AP,0.5769762481117086,0.7,-1.0,-1.0,-1.0,2,1000,0.773
rAP,0.47544607985983844,0.7,10.0,0.1,1.01,2,1000,0.7070000000000001
AP,0.4896838330616661,0.7,-1.0,-1.0,-1.0,2,1000,0.844
rAP,0.4863012240683673,0.7,10.0,0.1,1.01,2,1000,0.761
AP,6.516763848267852,0.7,-1.0,-1.0,-1.0,2,1000,0.997
rAP,0.48883419301086023,0.7,10.0,0.1,1.01,2,1000,0.792
AP,0.6591447965258742,0.7,-1.0,-1.0,-1.0,2,1000,0.513
rAP,0.4862392988794991,0.7,10.0,0.1,1.01,2,1000,0.978
AP,2.647267514063509,0.7,-1.0,-1.0,-1.0,2,1000,0.998
rAP,0.7137391190529988,0.7,10.0,0.1,1.01,2,1000,0.758
AP,3.7664559446304153,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.48429169545172296,0.7,10.0,0.1,1.01,2,1000,0.8180000000000001
AP,1.012504097175275,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.47542039631508043,0.7,10.0,0.1,1.01,2,1000,0.998
AP,10.65140636638408,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.48284703995225614,0.7,10.0,0.1,1.01,2,1000,0.5800000000000001
AP,1.9206156230728892,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.501339011075382,0.7,10.0,0.1,1.01,2,1000,0.979
AP,0.485337482953621,0.7,-1.0,-1.0,-1.0,2,1000,0.8049999999999999
rAP,5.084097480386542,0.7,10.0,0.1,1.01,2,1000,0.999
AP,0.48786725481952536,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4766167546562607,0.7,10.0,0.1,1.01,2,1000,0.784
AP,3.338381379832597,0.7,-1.0,-1.0,-1.0,2,1000,0.999
